2.719353453701693901e-01 2.006161319279407482e-02
2.719867852981832090e-01 1.515085289332430973e-02
2.696096698763832955e-01 2.005979947845126787e-02
2.696747983975283924e-01 1.991874282771751922e-02
2.697053664582575450e-01 2.014237296207946337e-02
2.701543064924339377e-01 1.891233495234872011e-02
2.693322745235414706e-01 1.967355348612564309e-02
2.714085932384706079e-01 2.024906713393269039e-02
2.707038979312809124e-01 1.998223469272860167e-02
2.706061508694141970e-01 2.006859406772441151e-02
2.716656448361750020e-01 1.988321994364207826e-02
2.703487209058356155e-01 1.987584298204879418e-02
2.722430140634808371e-01 2.073471917639011994e-02
2.733100894480942622e-01 1.921658094639168771e-02
2.731020891452826671e-01 2.056500916256196257e-02
